"","ResponseId","involve","org_representation","org","org_type","title","tasks","affiliations","location","informShort","informLong","concernShort","concernLong","agree","science","info","impact","top_sector","policy","collabActivities","barriers","resources","forum_name","forummImpact_DD","forummGoals_DD","forummProgress_DD","forummFairness_DD","forummProcess_DD","forummBarriers_DD","forumImpact_RMSI","forumGoals_RMSI","forumProgress_RMSI","forumFairness_RMSI","forumProcess_RMSI","forumBarriers_RMSI","forumImpact_CSLRSP","forumGoals_CSLRSP","forumProgress_CSLRSP","forumFairness_CSLRSP","forumProcess_CSLRSP","forumBarriers_CSLRSP","forumImpact_CRHMP","forumGoals_CRHMP","forumProgress_CRHMP","forumFairness_CRHMP","forumProcess_CRHMP","forumBarriers_CRHMP","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"11","R_2U3GS8aMsZXoepO","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","seabrook island property owners association","non-profit/non-governmental organization","Director of Engineering","Executive Management,Policy Analysis,Planning,Scientific Research,Project Management,Outreach/Communication",NA,"Town of Seabrook Island (Charleston County)","Well-Informed","Well-Informed","Concerned","Concerned","Low","Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Stakeholder agreement on the interpretation of scientific information","10+","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Property Values","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Establish a new regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Signing a formal agreement with another organization","Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Permitting obstacles","About Right","Other, Local Sea level rise discussion and planning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USACE","OCRM","Town of SI","Kiawah",NA
"12","R_3JqEUh7TGgDMLSg","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","Director of Sustainability","Executive Management,Policy Analysis,Planning,Scientific Research,Governmental Affairs,Project Management,Advocacy,Outreach/Communication,Other: emergency management",NA,"City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Stakeholder agreement on the interpretation of scientific information","lots","They have been felt for a while already","Historically Underserved Communities, Affordability of Housing, Public Health","Pass a tax measure at the local/county/state level to address sea-level rise; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Joining or supporting litigation or other judicial processes,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Knowledge of staff,Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Other: Lack of support from the development community and home builders","Too Little","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan","10","Strongly agree","Strongly agree","10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There were no identifiable barriers","10","Strongly agree","Strongly agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","The procedures are confusing","10","Strongly agree","Strongly agree","10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Lack of resources","10","Strongly agree","Strongly agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views,There is too much scientific uncertainty,Lack of resources","NOAA, Sea Grant","DOT","Charleston County","LAMC, CCL",NA
"13","R_1mKmeOnekc9NUOP","No involvement",NA,"town of seabrook island","local government","Mayor","Executive Management,Policy Analysis,Governmental Affairs,Advocacy,Outreach/Communication","No","Town of Seabrook Island (Charleston County)","Not Informed","Somewhat Informed","Not Concerned","Somewhat Concerned","Fairly High","Creation of a single platform of available scientific information,Development of regional reports on sea-level rise","Single Source","In the next few decades","Energy Infrastructure, Coastlines, Property Values","Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Promote projects with different or innovative design solutions; Support local jurisdictions to respond to sea-level rise threats as they see fit","Nothing","Uncertainty about how quickly sea-level rise will happen","About Right","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,Charleston Regional Hazard Mitigation Plan,Other, Town of Seabrook Island Comprehensive Beach Management Plan",NA,NA,NA,NA,NA,NA,"5",NA,NA,"5","Don't know","There are no identifiable barriers",NA,NA,NA,NA,NA,NA,"5","Strongly agree",NA,"10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There are no identifiable barriers","None","None","Charleston County Flood Services (designation of Building Inspection Services Department)","None",NA
"14","R_22Qdtqc3pqddhB9","A major aspect of my work for less than a year","Yes, I am involved on behalf of several organizations","climate adaptation partners","consulting/research",NA,"Executive Management,Planning,Scientific Research,Project Management,Advocacy,Outreach/Communication",NA,"City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","Multiple","They have been felt for a while already","Historically Underserved Communities, Affordability of Housing, Public Health","Establish a new regional authority to address sea-level rise in the area; Empower an existing regional authority to address sea-level rise in the area; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Training personnel from other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Lack of an overarching plan,Lack of public support for policies addressing sea-level rise","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study","4",NA,NA,"5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants did not share common views,The initiative lacks authority to produce binding decisions","6","Somewhat disagree","Somewhat agree","5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Other: Time scale of implementation is poorly understood and so the transition risks remain unaddressed by those investing currently. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USACE, VA","SCOR","City of Charleston","MUSC, Roper Children's Hospital",NA
"15","R_3EALfZlz8J7l0li","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of one organization","kiawah conservancy","non-profit/non-governmental organization","Senior Ecological Health and Conservation Coordinator","Policy Analysis,Planning,Scientific Research,Governmental Affairs,Project Management,Advocacy,Outreach/Communication","College of Charleston ","Town of Kiawah Island (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Increased public availability of scientific knowledge,Development of regional reports on sea-level rise,Other: Communication about mitigation and adaptation opportunities in response to sea level rise","Many reports, consultancies, research centers, and other organizations. ","They have been felt for a while already","Ecosystems Health, Commercial Developments, Historically Underserved Communities","Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Permitting obstacles,Lack of public support for policies addressing sea-level rise","About Right","Other,Other,Other, Groundwater Monitoring / Integrated Watershed Study , Marsh Vulnerability Study / Marsh Management Plan , Nature-Based Solutions Catalogue for Kiawah Island (Forthcoming, 2022)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Fish and Wildlife, NOAA","S.C. Sea Grant Consortium, SCDNR","Town of Kiawah Island","Kiawah Island Community Association, College of Charleston, Johns Island Task Force, Kiawah Partners, Kiawah ARB, Biohabitats, Elko Consulting","SC Office of Resilience, SCDHEC-OCRM, Charleston County, FEMA"
"16","R_OvdJVDbhE5qJdxT","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","town of kiawah island","local government","Wildlife Biologist","Scientific Research,Outreach/Communication",NA,"Town of Kiawah Island (Charleston County)","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Update existing reports on sea-level rise for the whole tri-county area",NA,"They have been felt for a while already","Transportation Infrastructure, Ecosystems Health, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios","Sharing information with other organizations,Implementing projects jointly with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations","Lack of awareness about other organizations’ activity","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","None","None","Kiawah Conservancy, Kiawah Island Community Association",NA
"17","R_yPXMFXTevCA12hz","A part of my work, with routine involvement","Yes, I am involved on behalf of several organizations","city of charleston","local government","Senior Planner","Policy Analysis,Planning,Scientific Research,Governmental Affairs,Project Management,Outreach/Communication",NA,"City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","5","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Historically Underserved Communities","Pass a tax measure at the local/county/state level to address sea-level rise; Focus attention on the impact of sea-level rise on historically underserved communities in the area; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Lack of availability of adequate scientific information,Lack of awareness about other organizations’ activity","Too Little","Dutch Dialogues Report (2019),Other, Charleston City Plan Land & Water Analysis","9","Strongly disagree",NA,"5","Don't know","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOAA, ACOE","SC DNR","N/A","Historic Charleston Foundation, Coastal Conservation League, Water Institute of the Gulf",NA
"18","R_ylNiSUgPbSf7bJT","A part of my work, with routine involvement","Yes, I am involved on behalf of several organizations","city of charleston","local government","City Planner","Planning,Scientific Research,Outreach/Communication","as previously stated","All of Berkeley County,All of Charleston County,All of Dorchester County,Sullivan's Island (Charleston County),City of North Charleston (Charleston County)","Well-Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Direct relationship with scientists working on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","as many as I can access","They are starting to be felt right now","Water Supply Infrastructure, Waste and Stormwater, Availability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations","Scarce budgetary/staff resources,Knowledge of staff,Lack of political leadership of elected officials,Lack of an overarching plan,Lack of public support for policies addressing sea-level rise","Too Little","Charleston Regional Hazard Mitigation Plan,Other,Other, Charleston County Resilience Committee, North Charleston Climate Adaptation Plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Somewhat disagree","Somewhat agree","5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The initiative lacks authority to produce binding decisions","FEMA, NOAA","DHEC, State Resiliency Office, DNR, SC Forestry Commission","Charleston County","Sea Grant Consortium, CCL",NA
"19","R_2y7sJlIKqqElkQz","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","charleston county","local government","Floodplain Management Coordinator","Policy Analysis,Planning,Governmental Affairs,Project Management,Outreach/Communication","I have been employed by Charleston County since 2019 but completed my Master's thesis (concerning SLR) in 2021 with the College of Charleston. ","All of Charleston County,City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County),City of North Charleston (Charleston County),Lincolnville (Charleston County),Rockville (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Stakeholder agreement on the interpretation of scientific information","Primarily NOAA","They have been felt for a while already","Transportation Infrastructure, Water Supply Infrastructure, Waste and Stormwater","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of political leadership of elected officials,Lack of an overarching plan,Lack of awareness about other organizations’ activity,Lack of public support for policies addressing sea-level rise","Far Too Little","Charleston Regional Hazard Mitigation Plan,Other,Other, Charleston County has recently been awarded a BRIC grant to conduct an all hazards vulnerability assessment, Charleston County building code- increased freeboard regulations and new proposal to regulate building elevation outside of the Special Flood Hazard Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Somewhat agree","Somewhat agree","10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants don't attend meetings often enough,The process is controlled by a few dominant stakeholders,Lack of resources,Other: Plan elements, planning process, and plan requirements are entirely dictated by FEMA","FEMA","SCEMD, SCDNR, SCDHEC","all jurisdictions within Charleston County","Charleston Water, Mt. Pleasant Waterworks, North Charleston Sewer District, all local fire departments, The Nature Conservancy, Elko Coastal Consulting","BCDCOG"
"20","R_eECGpkNiQrXK3n3","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","charleston county","local government","Planner III","Executive Management,Policy Analysis,Planning,Scientific Research,Governmental Affairs,Project Management,Advocacy,Outreach/Communication",NA,"All of Charleston County,Rockville (Charleston County)","Well-Informed","Well-Informed","Concerned","Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Development of regional reports on sea-level rise","2","They are starting to be felt right now","Waste and Stormwater, Ecosystems Health, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Carrying out research projects jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of an overarching plan,Lack of public support for policies addressing sea-level rise","Too Little","Other, Resilience Planning ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEMA, Army Corp","SCDHEC-OCRM ","Public Works Stormwater Division","Coastal Conservation League",NA
"21","R_2vZjs3Xnz2U3FMA","A part of my work, with occasional involvement","Yes, I am involved on behalf of several organizations","college of charleston","education/academic institution",NA,"Scientific Research","Charleston Resilience Network","All of Charleston County","Well-Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Development of regional reports on sea-level rise",NA,"They are starting to be felt right now","Historically Underserved Communities, Availability of Housing, Affordability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Sharing information with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Scarce budgetary/staff resources,Lack of experience collaborating with other organizations in the tri-county area,Lack of an overarching plan,Lack of awareness about other organizations’ activity","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","Sea Grant, the Citadel ","City of Charleston","Charleston Resilience Network",NA
"22","R_1k2cY098yXk8guQ","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","south carolina aquarium","non-profit/non-governmental organization","President and CEO","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Advocacy,Outreach/Communication,Other",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Well-Informed","Very Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Development of regional reports on sea-level rise,Other: Regional planning that involves multi-sector participation and stakeholder engagement","Multiple (difficult question to answer given the diversity of sea level impacts, from erosion to storm surge to groundwater intrusion, across a variety of public and private dimensions)","They have been felt for a while already","Water Supply Infrastructure, Ecosystems Health, Historically Underserved Communities","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Pass a tax measure at the local/county/state level to address sea-level rise","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Signing a formal agreement with another organization,Carrying out advocacy activities jointly with other organizations,Other: Public engagement, including education, training, citizen science and environmental stewardship","Scarce budgetary/staff resources","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Other,Other, Resilience Initiative for Coastal Education Town Halls (South Carolina Aquarium, MUSC, SC ETV, US Dept of Energy), Formation of the Center for Resilience Excellence - South Carolina (comprising College of Charleston, Charleston County Government and South Carolina Aquarium)","10","Strongly agree","Strongly agree","9","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The initiative lacks authority to produce binding decisions","6","Somewhat agree","Strongly agree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Other: Widespread public misunderstanding, political disagreement on goals, uncertainty over ultimate funding","7","Somewhat agree","Somewhat agree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Lack of resources",NA,NA,NA,NA,NA,NA,"NOAA, NASA, EDA, Dept. of Energy, US Fish & Wildlife Service","SC DNR, Office of Resilience, DHEC, SC Floodwater Commission","City of Charleston, Charleston County Government, Horry County, Beaufort County, Town of Beaufort, Town of Hilton Head, Town of Mount Pleasant","College of Charleston, University of South Carolina, Clemson, Coastal Carolina University, Allen University, Savannah State University, Virginia Institute of Marine Science, SC Sea Grant, Charleston Resilience Network, South Carolina Environmental Law Center, Coastal Conservation League, CRDA, Charleston Metro Chamber of Commerce, Riley Sustainability Institute, Urban Land Institute",NA
